Crop,Year,Yield_kg_ha,Area_Harvested_ha,Production_tonnes
Potatoes,2020,24561.2,185360,4552656.0
Potatoes,2021,25063.7,234321,5872960.0
Potatoes,2022,25266.6,314125,7936884.0
Potatoes,2023,24428.5,340576,8319767.0
Potatoes,2024,24901.1,338715,8434370.0
Cotton,2000,1870.6,2927500,5476167.0
Cotton,2001,1738.1,3115800,5415600.0
Cotton,2002,1865.1,2793600,5210400.0
Cotton,2003,1715.2,2989300,5127300.0
Cotton,2004,2280.1,3192600,7279400.0
Cotton,2005,2042.4,3103000,6337475.0
Cotton,2006,2033.3,3074900,6252200.0
Cotton,2007,1858.7,3054300,5676900.0
Cotton,2008,2046.2,2819900,5770000.0
Cotton,2009,2039.5,3105700,6334200.0
Cotton,2010,2087.5,2689100,5613600.0
Cotton,2011,2330.3,2834500,6605300.0
Cotton,2012,2211.4,2878800,6366100.0
Cotton,2013,2272.4,2747438,6243348.0
Cotton,2014,2302.1,2961263,6817178.0
Cotton,2015,1678.8,2901977,4871738.0
Cotton,2016,2104.2,2488959,5237162.0
Cotton,2017,2168.3,2700284,5855025.0
Cotton,2018,2034.8,2372968,4828439.0
Cotton,2019,1779.8,2517287,4480230.0
Cotton,2020,1661.6,2078899,3454334.0
Cotton,2021,2114.7,1936969,4096106.0
Cotton,2022,1124.1,2143605,2409642.0
Cotton,2023,2078.2,2423688,5036874.0
Cotton,2024,1713.3,2043211,3500618.0
